"material","type","subtype","energyPerArea","massCO2PerArea","massCO2ePerArea","boundary","note","units","source"
"Paint","General","Single coat",10.50,0.36,0.44,"Cradle to gate","Assuming 6.66 Sqm Coverage per kg",,"http://people.bath.ac.uk/cj219/"
"Paint","General","Double coat",21.00,0.73,0.87,"Cradle to gate","Assuming 3.33 Sqm Coverage per kg",,"http://people.bath.ac.uk/cj219/"
"Paint","General","Triple coat",31.50,1.09,1.31,"Cradle to gate","Assuming 2.22 Sqm Coverage per kg",,"http://people.bath.ac.uk/cj219/"
"Road","Hot asphalt","All (40 yrs)",2509.00,93.00,99.00,"Not specified","730 MJ/Sqm Feedstock Energy  (Included). For more detailed data see reference 147. (Swedish study). The data in this report was modified to fit within the ICE framework. Includes all sub-base layers to construct a road. Sum of construction, maintenance, operation.",,"http://people.bath.ac.uk/cj219/"
"Road","Hot asphalt","Construction",1069.00,30.90,32.80,"Not specified","480 MJ/Sqm Feedstock Energy  (Included)",,"http://people.bath.ac.uk/cj219/"
"Road","Hot asphalt","Maintenance (40 yrs)",471.00,11.60,12.30,"Not specified","250 MJ/Sqm Feedstock Energy  (Included)",,"http://people.bath.ac.uk/cj219/"
"Road","Hot asphalt","Operation (40 yrs)",969.00,50.80,54.00,"Not specified","Swedish scenario of typical road operation, includes street and traffic lights (95% of total energy), road clearing, sweeping, gritting and snow clearing. ",,"http://people.bath.ac.uk/cj219/"
"Road","Cold asphalt","All (40 yrs)",3030.00,91.00,97.00,"Not specified","1,290 MJ/kg Feedstock Energy  (Included). Sum of construction, maintenance, operation.",,"http://people.bath.ac.uk/cj219/"
"Road","Cold asphalt","Construction",825.00,26.50,28.20,"Not specified","320 MJ/Sqm Feedstock Energy  (Included)",,"http://people.bath.ac.uk/cj219/"
"Road","Cold asphalt","Maintenance (40 yrs)",1556.00,13.90,14.80,"Not specified","970 MJ/Sqm Feedstock Energy  (Included)",,"http://people.bath.ac.uk/cj219/"
"Road","Cold asphalt","Operation (40 yrs)",969.00,50.80,54.00,"Not specified","See hot rolled asphalt.",,"http://people.bath.ac.uk/cj219/"
