action,kgCO2ReductionPerYear,units,source,algorithm
Turn off lights,37,kgCO2,theclimategroup.org,
Boil the water you need,27,kgCO2,theclimategroup.org,
Turn thermostat down,294,kgCO2,theclimategroup.org,
Wash at 30,43,kgCO2,theclimategroup.org,
Appliances off standby,143,kgCO2,theclimategroup.org,
Low energy bulb,11,kgCO2,theclimategroup.org,
Replace an inefficient appliance,200,kgCO2,theclimategroup.org,
Eco driving,282,kgCO2,theclimategroup.org,
Loft insulation,1025,kgCO2,www.energysavingtrust.org.uk/energy-saving-products/insulation,
Cavity wall insulation,800,kgCO2,www.energysavingtrust.org.uk/energy-saving-products/insulation,
Replace an old boiler,703,kgCO2,theclimategroup.org,
Solar water heating,375,kgCO2,theclimategroup.org,
Photovoltaic cells,1050,kgCO2,theclimategroup.org,
Floor insulation,375,kgCO2,www.energysavingtrust.org.uk/Home-improvements/Home-insulation-glazing/Floor-Insulation,
Draught proofing,150,kgCO2,www.energysavingtrust.org.uk/home_improvements/home_insulation_glazing,
Double glazing,720,kgCO2,www.energysavingtrust.org.uk/home_improvements/home_insulation_glazing,
Set hot water tank to 60oC,51.1,kgCO2,www.dothegreenthing.com,
Always fill dishwasher for each use,28.439,kgCO2,www.cutco2.org/what-can-i-do.php,
Buy a TV with a built-in set-top box,24,kgCO2,www.energysavingtrust.org.uk/Energy-saving-assumptions,
Inflate tyres to the correct pressure ,115,kgCO2,www.reduceyourcarbonfootprint.com/3.html,
Switch off televisions at the powerpoint,20,kgCO2,www.emra.gov.uk/what-we-do/regional-communities-policy/sustainable-development/low-carbon-challenge/pledges/lifestyle#L6,
Watch less television,600,kgCO2,www.emra.gov.uk/what-we-do/regional-communities-policy/sustainable-development/low-carbon-challenge/pledges/lifestyle#L6,
Switch off computer monitors when not in use,27.375,kgCO2,www.carbonneutral.com,
Switch off computer when not in use,26,kgCO2,www.carbonneutral.com,
Eat less meat and processed foods,430,kgCO2,www.reduceyourcarbonfootprint.com/3.html,
Reduce junk mail,104,kgCO2,articles.kyero.com/reduce-your-carbon-footprint/578,
Use reusable bags,23.14,kgCO2,www.dothegreenthing.com/wiki/display/WIKI/Transport+your+food+more+ecologically+-+don't+use+a+plastic+bag,
Throw away one less bin bag per week,9.78,kgCO2,www.defra.gov.uk/news/2007/071106a.htm,
Take showers instead of baths,102.2,kgco2,www.biggreenswitch.co.uk/energy_saving/shower-instead-of-bath,
Use a plug when washing up,370.475,kgco2,www.cornwallriversproject.org.uk/education/ed_cd/teaching_notes/calculations.htm,
Insulate hot water pipes ,50,kgco2,www.energysavingtrust.org.uk/energy-saving-products/insulation,
Install hot water tank insulation,200,kgco2,www.energysavingtrust.org.uk/energy-saving-products/insulation,
Install thermostatic radiator valves ,45,kgco2,www.energysavingtrust.org.uk/Home-improvements/Heating-and-hot-water/Heating-controls,
Install proper heating controls ,584,kgCO2,www.energysavingtrust.org.uk/Home-improvements/Heating-and-hot-water/Heating-controls,
