"IATACode","country","fullName","latitude","longitude","airportName","units","source"
"AAA","French Polynesia","Anaa","-17.35","-145.51","Anaa [AAA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AAE","Algeria","Annaba","36.82","7.81","Annaba [AAE]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AAH","Germany","Aachen Merzbruck","50.82","6.19","Aachen [AAH]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AAL","Denmark","Aalborg","57.09","9.85","Aalborg [AAL]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AAO","Venezuela","Anaco","9.43","-64.47","Anaco [AAO]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"AAR","Denmark","Aarhus","56.3","10.62","Aarhus [AAR]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ABA","Russia","Abakan","53.74","91.39","Abakan [ABA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ABD","Iran","Abadan","30.37","48.23","Abadan [ABD]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ABI","United States","Abilene Regional","32.41","-99.68","Abilene [ABI]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ABJ","Ivory Coast","Abidjan Felix Houphouet Boigny International","5.26","-3.93","Abidjan [ABJ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ABM","Australia","Bamaga Injinoo","-10.95","142.46","Amberley [ABM]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ABQ","United States","Albuquerque International Sunport","35.04","-106.61","Kirtland Air Force Base [ABQ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ABS","Egypt","Abu Simbel","22.38","31.61","Abu Simbel [ABS]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ABT","Saudi Arabia","Al Baha","20.3","41.63","El-Baha [ABT]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ABV","Nigeria","Abuja Nnamdi Azikiwe International","9.01","7.26","Abuja [ABV]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ABX","Australia","Albury","-36.07","146.96","Albury [ABX]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ABZ","United Kingdom","Dyce","57.2","-2.2","Aberdeen [ABZ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ACA","Mexico","General Juan N Alvarez International","16.76","-99.75","Acapulco [ACA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ACC","Ghana","Kotoka International","5.6","-0.17","Accra [ACC]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ACE","Canary Islands","Lanzarote","28.95","-13.61","Lanzarote [ACE]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ACH","Switzerland","St Gallen Altenrhein","47.49","9.56","Altenrhein [ACH]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ACK","United States","Nantucket Memorial","41.25","-70.06","Nantucket [ACK]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ACT","United States","Waco Regional","31.61","-97.23","Waco [ACT]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ACY","United States","Atlantic City International","39.46","-74.58","Atlantic City [ACY]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ADA","Turkey","Adana/Incirlik Ab","36.98","35.28","Adana [ADA]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ADB","Turkey","Adnan Menderes","38.29","27.16","Izmir [ADB]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ADD","Ethiopia","Bole International","8.98","38.8","Addis Ababa [ADD]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ADH","Russia","Ada Municipal","34.8","-96.67","Aldan [ADH]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ADJ","Jordan","Marka International","31.97","35.99","Amman [ADJ]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"ADK","United States","Adak","51.88","-176.65","Adak Island [ADK]","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
