manufacturer,model,description,transmission,engineCapacity,fuelType,kgCO2PerKm,source,algorithm
ALFA ROMEO,147,1.9 JTDM,M5,1910,Diesel,0.153,http://www.vcacarfueldata.org.uk/downloads/latest.asp 07 March 2006,1.15*value*user_distance_km
ALFA ROMEO,147,1.9 JTDM 16v,M6,1910,Diesel,0.157,http://www.vcacarfueldata.org.uk/downloads/latest.asp 07 March 2006,1.15*value*user_distance_km
ALFA ROMEO,147,1.6 (120 bhp),M5,1598,Petrol,0.194,http://www.vcacarfueldata.org.uk/downloads/latest.asp 12 August 2005,1.15*value*user_distance_km
ALFA ROMEO,147,2.0,M5,1970,Petrol,0.211,http://www.vcacarfueldata.org.uk/downloads/latest.asp 12 August 2005,1.15*value*user_distance_km
ALFA ROMEO,159,1.9 16v JTDM,M6,1910,Diesel,0.159,http://www.vcacarfueldata.org.uk/downloads/latest.asp 12 January 2006,1.15*value*user_distance_km
ALFA ROMEO,159,1.9 16v JTDM Automatic,A6,1910,Diesel,0.187,http://www.vcacarfueldata.org.uk/downloads/latest.asp 25 October 2006,1.15*value*user_distance_km
ALFA ROMEO,159,2.4 JTDM,M6,2387,Diesel,0.179,http://www.vcacarfueldata.org.uk/downloads/latest.asp 12 January 2006,1.15*value*user_distance_km
ALFA ROMEO,159,2.4 20v JTDM Automatic ,A6,2387,Diesel,0.210,http://www.vcacarfueldata.org.uk/downloads/latest.asp 25 October 2006,1.15*value*user_distance_km
ALFA ROMEO,159,1.9 JTS,M6,1859,Petrol,0.205,http://www.vcacarfueldata.org.uk/downloads/latest.asp 12 January 2006,1.15*value*user_distance_km
ALFA ROMEO,159,2.2 JTS,M6,2198,Petrol,0.221,http://www.vcacarfueldata.org.uk/downloads/latest.asp 12 January 2006,1.15*value*user_distance_km
ALFA ROMEO,159,3.2 JTS V6 Q4,M6,3195,Petrol,0.273,http://www.vcacarfueldata.org.uk/downloads/latest.asp 07 March 2006,1.15*value*user_distance_km
ALFA ROMEO,159,3.2 JTS V6 Q4 Automatic,A6,3195,Petrol,0.289,http://www.vcacarfueldata.org.uk/downloads/latest.asp 25 October 2006,1.15*value*user_distance_km
ALFA ROMEO,159 Sportwagon,1.9 JTDM 16v,M6,1910,Diesel,0.162,http://www.vcacarfueldata.org.uk/downloads/latest.asp 03 April 2006,1.15*value*user_distance_km
ALFA ROMEO,159 Sportwagon,1.9 16v JTDM Automatic,A6,1910,Diesel,0.190,http://www.vcacarfueldata.org.uk/downloads/latest.asp 25 October 2006,1.15*value*user_distance_km
ALFA ROMEO,159 Sportwagon,2.4 JTDM,M6,2387,Diesel,0.185,http://www.vcacarfueldata.org.uk/downloads/latest.asp 05 March 2007,1.15*value*user_distance_km
ALFA ROMEO,159 Sportwagon,2.4 20v JTDM Automatic,A6,2387,Diesel,0.215,http://www.vcacarfueldata.org.uk/downloads/latest.asp 25 October 2006,1.15*value*user_distance_km
ALFA ROMEO,159 Sportwagon,1.9 16v,M6,1859,Petrol,0.209,http://www.vcacarfueldata.org.uk/downloads/latest.asp 03 April 2006,1.15*value*user_distance_km
ALFA ROMEO,159 Sportwagon,2.2 16v,M6,2198,Petrol,0.224,http://www.vcacarfueldata.org.uk/downloads/latest.asp 03 April 2006,1.15*value*user_distance_km
ALFA ROMEO,159 Sportwagon,3.2 JTS V6 Q4,M6,3195,Petrol,0.314,http://www.vcacarfueldata.org.uk/downloads/latest.asp 03 April 2006,1.15*value*user_distance_km
ALFA ROMEO,159 Sportwagon,3.2 JTS V6 Q4 Automatic,A6,3195,Petrol,0.275,http://www.vcacarfueldata.org.uk/downloads/latest.asp 02 March 2007,1.15*value*user_distance_km
ALFA ROMEO,Brera,2.4 JTDM,M6,2387,Diesel,0.179,http://www.vcacarfueldata.org.uk/downloads/latest.asp 05 March 2007,1.15*value*user_distance_km
ALFA ROMEO,Brera,2.2 JTS,M6,2198,Petrol,0.221,http://www.vcacarfueldata.org.uk/downloads/latest.asp 17 February 2006,1.15*value*user_distance_km
ALFA ROMEO,Brera,3.2 JTS V6 Q4,M6,3195,Petrol,0.273,http://www.vcacarfueldata.org.uk/downloads/latest.asp 17 February 2006,1.15*value*user_distance_km
ALFA ROMEO,Brera,3.2 JTS V6 Q4 Automatic,A6,3195,Petrol,0.289,http://www.vcacarfueldata.org.uk/downloads/latest.asp 25 October 2006,1.15*value*user_distance_km
ALFA ROMEO,GT,1.9 JTDM 16v,M6,1910,Diesel,0.165,http://www.vcacarfueldata.org.uk/downloads/latest.asp 07 March 2006,1.15*value*user_distance_km
ALFA ROMEO,GT,2.0 JTS,M5,1970,Petrol,0.207,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 February 2004,1.15*value*user_distance_km
ALFA ROMEO,GT,3.2 V6 24v,M6,3179,Petrol,0.295,http://www.vcacarfueldata.org.uk/downloads/latest.asp 18 February 2004,1.15*value*user_distance_km
ALFA ROMEO,Spider (2007),2.4 JTDM,M6,2387,Diesel,0.179,http://www.vcacarfueldata.org.uk/downloads/latest.asp 08 February 2007,1.15*value*user_distance_km
ALFA ROMEO,Spider (2007),2.2 JTS,M6,2198,Petrol,0.221,http://www.vcacarfueldata.org.uk/downloads/latest.asp 08 February 2007,1.15*value*user_distance_km
ALFA ROMEO,Spider (2007),3.2 JTS V6 Q4 QTronic,A6,3195,Petrol,0.289,http://www.vcacarfueldata.org.uk/downloads/latest.asp 08 February 2007,1.15*value*user_distance_km
ALFA ROMEO,Spider (2007),3.2 JTS V6 Q4,M6,3195,Petrol,0.273,http://www.vcacarfueldata.org.uk/downloads/latest.asp 08 February 2007,1.15*value*user_distance_km
ASTON MARTIN LAGONDA,DB9,Coupé & Convertible,A6,5935,Petrol,0.394,http://www.vcacarfueldata.org.uk/downloads/latest.asp 14 January 2005,1.15*value*user_distance_km
ASTON MARTIN LAGONDA,DB9,Coupé & Convertible,M6,5935,Petrol,0.421,http://www.vcacarfueldata.org.uk/downloads/latest.asp 09 March 2005,1.15*value*user_distance_km
ASTON MARTIN LAGONDA,V8 Vantage,Hatchback & Convertible,M6,4282,Petrol,0.358,http://www.vcacarfueldata.org.uk/downloads/latest.asp 28 February 2007,1.15*value*user_distance_km
ASTON MARTIN LAGONDA,V8 Vantage,Hatchback & Convertible,ASM  ,4282,Petrol,0.360,http://www.vcacarfueldata.org.uk/downloads/latest.asp 28 February 2007,1.15*value*user_distance_km
ASTON MARTIN LAGONDA,Vanquish,V12 Vanquish S,M6,5935,Petrol,0.448,http://www.vcacarfueldata.org.uk/downloads/latest.asp 09 March 2005,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.9 TDI 105ps SE,M5,1896,Diesel,0.135,http://www.vcacarfueldata.org.uk/downloads/latest.asp 29 January 2007,1.15*value*user_distance_km
AUDI,A3 (from NOV 06 Wk 45 >) ,1.9 TDI 105ps Standard,M5,1896,Diesel,0.138,http://www.vcacarfueldata.org.uk/downloads/latest.asp 26 January 2007,1.15*value*user_distance_km
