name,Turboprop aircraft
algFile,default.js
name,path,isDataItemValue,isDrillDown,unit,perUnit,default,choices
Aircraft name,aircraft,TEXT,true,true,,,,
232 km taxi out fuel consumption,massFuelTaxiOut232km,DECIMAL,true,false,kg,,,
463 km taxi out fuel consumption,massFuelTaxiOut463km,DECIMAL,true,false,kg,,,
926 km taxi out fuel consumption,massFuelTaxiOut926km,DECIMAL,true,false,kg,,,
1389 km taxi out fuel consumption,massFuelTaxiOut1389km,DECIMAL,true,false,kg,,,
1852 km taxi out fuel consumption,massFuelTaxiOut1852km,DECIMAL,true,false,kg,,,
2778 km taxi out fuel consumption,massFuelTaxiOut2778km,DECIMAL,true,false,kg,,,
3704 km taxi out fuel consumption,massFuelTaxiOut3704km,DECIMAL,true,false,kg,,,
4630 km taxi out fuel consumption,massFuelTaxiOut4630km,DECIMAL,true,false,kg,,,
5556 km taxi out fuel consumption,massFuelTaxiOut5556km,DECIMAL,true,false,kg,,,
6482 km taxi out fuel consumption,massFuelTaxiOut6482km,DECIMAL,true,false,kg,,,
7408 km taxi out fuel consumption,massFuelTaxiOut7408km,DECIMAL,true,false,kg,,,
232 km take off fuel consumption,massFuelTakeOff232km,DECIMAL,true,false,kg,,,
463 km take off fuel consumption,massFuelTakeOff463km,DECIMAL,true,false,kg,,,
926 km take off fuel consumption,massFuelTakeOff926km,DECIMAL,true,false,kg,,,
1389 km take off fuel consumption,massFuelTakeOff1389km,DECIMAL,true,false,kg,,,
1852 km take off fuel consumption,massFuelTakeOff1852km,DECIMAL,true,false,kg,,,
2778 km take off fuel consumption,massFuelTakeOff2778km,DECIMAL,true,false,kg,,,
3704 km take off fuel consumption,massFuelTakeOff3704km,DECIMAL,true,false,kg,,,
4630 km take off fuel consumption,massFuelTakeOff4630km,DECIMAL,true,false,kg,,,
5556 km take off fuel consumption,massFuelTakeOff5556km,DECIMAL,true,false,kg,,,
6482 km take off fuel consumption,massFuelTakeOff6482km,DECIMAL,true,false,kg,,,
7408 km take off fuel consumption,massFuelTakeOff7408km,DECIMAL,true,false,kg,,,
232 km cruise fuel consumption,massFuelClimbOut232km,DECIMAL,true,false,kg,,,
463 km cruise fuel consumption,massFuelClimbOut463km,DECIMAL,true,false,kg,,,
926 km cruise fuel consumption,massFuelClimbOut926km,DECIMAL,true,false,kg,,,
1389 km cruise fuel consumption,massFuelClimbOut1389km,DECIMAL,true,false,kg,,,
1852 km cruise fuel consumption,massFuelClimbOut1852km,DECIMAL,true,false,kg,,,
2778 km cruise fuel consumption,massFuelClimbOut2778km,DECIMAL,true,false,kg,,,
3704 km cruise fuel consumption,massFuelClimbOut3704km,DECIMAL,true,false,kg,,,
4630 km cruise fuel consumption,massFuelClimbOut4630km,DECIMAL,true,false,kg,,,
5556 km cruise fuel consumption,massFuelClimbOut5556km,DECIMAL,true,false,kg,,,
6482 km cruise fuel consumption,massFuelClimbOut6482km,DECIMAL,true,false,kg,,,
7408 km cruise fuel consumption,massFuelClimbOut7408km,DECIMAL,true,false,kg,,,
Approach fuel consumption,massFuelApproach,DECIMAL,true,false,kg,,,
Taxi in fuel consumption,massFuelTaxiIn,DECIMAL,true,false,kg,,,
232 km cruise fuel consumption,massFuelCruise232km,DECIMAL,true,false,kg,,,
463 km cruise fuel consumption,massFuelCruise463km,DECIMAL,true,false,kg,,,
926 km cruise fuel consumption,massFuelCruise926km,DECIMAL,true,false,kg,,,
1389 km cruise fuel consumption,massFuelCruise1389km,DECIMAL,true,false,kg,,,
1852 km cruise fuel consumption,massFuelCruise1852km,DECIMAL,true,false,kg,,,
2778 km cruise fuel consumption,massFuelCruise2778km,DECIMAL,true,false,kg,,,
3704 km cruise fuel consumption,massFuelCruise3704km,DECIMAL,true,false,kg,,,
4630 km cruise fuel consumption,massFuelCruise4630km,DECIMAL,true,false,kg,,,
5556 km cruise fuel consumption,massFuelCruise5556km,DECIMAL,true,false,kg,,,
6482 km cruise fuel consumption,massFuelCruise6482km,DECIMAL,true,false,kg,,,
7408 km cruise fuel consumption,massFuelCruise7408km,DECIMAL,true,false,kg,,,
Aircraft IATA Code,IATACode,TEXT,true,false,,,,
Aircraft ICAO Code,ICAOCode,TEXT,true,false,,,,
Flight distance,distance,DECIMAL,false,false,km,,,
IATA code 1,IATACode1,TEXT,false,false,,,,
IATA code 2,IATACode2,TEXT,false,false,,,,
Number of journeys,journeys,INTEGER,false,false,,,1,
Lat1,lat1,DECIMAL,false,false,,,-999,
Lat2,lat2,DECIMAL,false,false,,,-999,
Long1,long1,DECIMAL,false,false,,,-999,
Long2,long2,DECIMAL,false,false,,,-999,
Use RFI,useRFI,TEXT,false,false,,,false,true,false
Radiative Forcing Index (RFI),radiativeForcingIndex,DECIMAL,false,false,,,1.9,
Source,source,TEXT,true,false,,,,
