"fuelType","CO2eOrCO2","transportType","transportSubType","yearOfManufacture","kgCO2PerUsGallon","kgCH4PerUsGallon","kgN2OPerUsGallon","units","source"
"jet fuel","CO2 only",,,,9.57000,,,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"aviation gasoline","CO2 only",,,,8.32000,,,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","CO2 only",,,,8.81000,,,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","CO2e","agricultural equipment",,,8.81000,0.00126000,0.00022000,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","CO2e","construction equipment",,,8.81000,0.00050000,0.00022000,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","CO2e","bus",,,8.81000,0.00010500,0.00008500,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","CO2e","passenger car",,"1984-1993",8.81000,0.00158400,0.00145575,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","CO2e","passenger car",,1994,8.81000,0.00119475,0.00126000,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","CO2e","passenger car",,1995,8.81000,0.00080550,0.00106425,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","CO2e","passenger car",,1996,8.81000,0.00061200,0.00095850,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","CO2e","passenger car",,1997,8.81000,0.00060300,0.00094950,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","CO2e","passenger car",,1998,8.81000,0.00056025,0.00088425,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","CO2e","passenger car",,1999,8.81000,0.00048600,0.00075825,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","CO2e","passenger car",,2000,8.81000,0.00040050,0.00061425,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","CO2e","passenger car",,2001,8.81000,0.00024750,0.00035550,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","CO2e","passenger car",,2002,8.81000,0.00024075,0.00034425,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","CO2e","passenger car",,2003,8.81000,0.00025650,0.00030375,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","CO2e","passenger car",,2004,8.81000,0.00032625,0.00018675,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","CO2e","passenger car",,"2005-present",8.81000,0.00033075,0.00017775,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
