homeType,fuel,baseNumberOfBedrooms,solidWallSpaceEnergy,solidWallWaterEnergy,cavityWallSpaceEnergy,cavityWallWaterEnergy,insulatedCavityWallSpaceEnergy,insulatedCavityWallWaterEnergy,loft,cavityWall,subtractCavityWall,solidWall,underFloor,doubleGlazing,subtractDoubleGlazing,draftExclusion,noLoftInsulation,subtractLoft100mm,groundSourceHeatPump,airSourceHeatPump,solarHotWaterEnergySaved,units,source,algorithm
flat,gas,2,6225,3290,4898,3290,3126,3290,0.284,0.259,-0.206,0.355,0.08,0.125,-0.111,0.07,0.743,-0.426,0.072,0.106,1572.505,kWh/year or fraction,BRE 2008,
mid-terrace house,gas,3,9136,3584,7091,3584,4437,3584,0.123,0.245,-0.197,0.395,0.075,0.209,-0.173,0.066,0.317,-0.24,0.135,0.128,1572.505,kWh/year or fraction,BRE 2008,
end-terrace house,gas,3,14707,3584,10683,3584,6127,3584,0.088,0.282,-0.22,0.502,0.073,0.151,-0.132,0.048,0.219,-0.179,0.195,0.151,1572.505,kWh/year or fraction,BRE 2008,
semi-detached bungalow,gas,2,12078,3333,9360,3333,6253,3333,0.166,0.196,-0.164,0.339,0.119,0.123,-0.11,0.041,0.388,-0.279,0.185,0.147,1572.505,kWh/year or fraction,BRE 2008,
detached bungalow,gas,2,14268,3397,11014,3397,7155,3397,0.148,0.206,-0.171,0.355,0.119,0.143,-0.125,0.035,0.338,-0.252,0.206,0.155,1572.505,kWh/year or fraction,BRE 2008,
semi-detached house,gas,3,16329,3742,12104,3742,7326,3742,0.087,0.25,-0.2,0.446,0.071,0.172,-0.147,0.045,0.216,-0.177,0.209,0.156,1572.505,kWh/year or fraction,BRE 2008,
detached house,gas,3,24056,3975,17592,3975,9724,3975,0.074,0.282,-0.22,0.514,0.069,0.126,-0.112,0.036,0.172,-0.146,0.241,0.168,1572.505,kWh/year or fraction,BRE 2008,
maisonette,gas,3,12835,3584,8852,3584,4301,3584,0.111,0.257,-0.205,0.431,0.074,0.19,-0.159,0.06,0.284,-0.221,0.155,0.135,1572.505,kWh/year or fraction,BRE 2008,
flat,lpg,2,6225,3290,4898,3290,3126,3290,0.284,0.259,-0.206,0.355,0.08,0.125,-0.111,0.07,0.743,-0.426,0.15,0.141,1572.505,kWh/year or fraction,BRE 2008,
mid-terrace house,lpg,3,9136,3584,7091,3584,4437,3584,0.123,0.245,-0.197,0.395,0.075,0.209,-0.173,0.066,0.317,-0.24,0.208,0.169,1572.505,kWh/year or fraction,BRE 2008,
end-terrace house,lpg,3,14707,3584,10683,3584,6127,3584,0.088,0.282,-0.22,0.502,0.073,0.151,-0.132,0.048,0.219,-0.179,0.263,0.198,1572.505,kWh/year or fraction,BRE 2008,
semi-detached bungalow,lpg,2,12078,3333,9360,3333,6253,3333,0.166,0.196,-0.164,0.339,0.119,0.123,-0.11,0.041,0.388,-0.279,0.254,0.193,1572.505,kWh/year or fraction,BRE 2008,
detached bungalow,lpg,2,14268,3397,11014,3397,7155,3397,0.148,0.206,-0.171,0.355,0.119,0.143,-0.125,0.035,0.338,-0.252,0.273,0.203,1572.505,kWh/year or fraction,BRE 2008,
semi-detached house,lpg,3,16329,3742,12104,3742,7326,3742,0.087,0.25,-0.2,0.446,0.071,0.172,-0.147,0.045,0.216,-0.177,0.276,0.205,1572.505,kWh/year or fraction,BRE 2008,
detached house,lpg,3,24056,3975,17592,3975,9724,3975,0.074,0.282,-0.22,0.514,0.069,0.126,-0.112,0.036,0.172,-0.146,0.305,0.219,1572.505,kWh/year or fraction,BRE 2008,
maisonette,lpg,3,12835,3584,8852,3584,4301,3584,0.111,0.257,-0.205,0.431,0.074,0.19,-0.159,0.06,0.284,-0.221,0.226,0.179,1572.505,kWh/year or fraction,BRE 2008,
flat,oil,2,6314,3290,4983,3290,3216,3290,0.304,0.279,-0.218,0.371,0.084,0.132,-0.117,0.075,0.811,-0.448,0.179,0.163,1415.254,kWh/year or fraction,BRE 2008,
mid-terrace house,oil,3,9254,3584,7184,3584,4549,3584,0.132,0.26,-0.206,0.412,0.08,0.22,-0.181,0.071,0.346,-0.257,0.234,0.191,1415.254,kWh/year or fraction,BRE 2008,
end-terrace house,oil,3,14857,3584,10823,3584,6225,3584,0.096,0.303,-0.233,0.528,0.079,0.16,-0.138,0.052,0.233,-0.189,0.283,0.216,1415.254,kWh/year or fraction,BRE 2008,
semi-detached bungalow,oil,2,12213,3333,9492,3333,6339,3333,0.178,0.212,-0.175,0.356,0.129,0.13,-0.115,0.043,0.412,-0.292,0.276,0.212,1415.254,kWh/year or fraction,BRE 2008,
detached bungalow,oil,2,14402,3397,11149,3397,7246,3397,0.157,0.222,-0.181,0.373,0.127,0.151,-0.131,0.037,0.359,-0.264,0.293,0.221,1415.254,kWh/year or fraction,BRE 2008,
